Job_ID,Job_Title,Skills_Required,Tech_Stack,Company_Name,Location,Experience_Level,Salary_Range,Job_Type,Industry,Date_Posted,job_status,Apply Here
1,Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Linux, Firewalls, SIEM, Wireshark, Penetration Testing",Henry and Sons,Hyderabad,3-5 years,10 LPA- 15 LPA,Contract,IT,24-09-2023,closed,
2,Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Linux, Firewalls, SIEM, Wireshark, Penetration Testing",Torres-Vargas,Bangalore,Fresher,3 LPA- 6 LPA,Freelance,IT,26-09-2023,closed,
3,Network Administrator,"Networking, Cisco, Linux, Firewalls, VPNs","Networking, Cisco, Linux, Firewalls, VPNs",Barker-Woods,Mumbai,3-5 years,15 LPA- 25 LPA,Freelance,IT,26-09-2023,closed,
4,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Hansen, Knight and Alvarado",Remote,Fresher,10 LPA- 15 LPA,Internship,IT,27-09-2023,closed,
5,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Galvan, Nguyen and Smith",Remote,5+ years,15 LPA- 25 LPA,Contract,IT,28-09-2023,closed,
6,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes",Villarreal-Thomas,Mumbai,5+ years,3 LPA- 6 LPA,Internship,IT,28-09-2023,closed,
7,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Smith, Carney and Soto",Kolkata,3-5 years,3 LPA- 6 LPA,Contract,IT,30-09-2023,closed,
8,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Anderson-Robinson,Gurgaon,1-3 years,3 LPA- 6 LPA,Full-time,IT,30-09-2023,closed,
9,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Robinson Ltd,Pune,3-5 years,15 LPA- 25 LPA,Contract,IT,01-10-2023,closed,
10,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling",Aguilar-Donovan,Mumbai,3-5 years,10 LPA- 15 LPA,Freelance,IT,01-10-2023,closed,
11,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning",Marshall and Sons,Hyderabad,1-3 years,15 LPA- 25 LPA,Contract,IT,01-10-2023,closed,
12,Mobile App Developer,"Kotlin, Swift, Flutter, Android Studio, iOS Development","Kotlin, Swift, Flutter, Android Studio, iOS Development","Nichols, Smith and Flores",Delhi,3-5 years,10 LPA- 15 LPA,Full-time,IT,01-10-2023,closed,
13,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes",Ford-Tate,Delhi,Fresher,15 LPA- 25 LPA,Full-time,IT,01-10-2023,closed,
