Job_Role,Required_Skills
Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js"
Mobile App Developer,"Kotlin, Swift, Flutter, Android Studio, iOS Development"
Full Stack Developer,"JavaScript, Node.js, React.js, MongoDB, Express.js, Docker"
Network Administrator,"Networking, Cisco, Linux, Firewalls, VPNs"
Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes"
DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible"
AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy"
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform"
Database Administrator,"MySQL, PostgreSQL, MongoDB, Oracle, SQL"
Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling"
QA Engineer,"Selenium, JUnit, Postman, Manual Testing, Automation Testing"
IT Support Specialist,"Windows, Linux, Troubleshooting, Networking, Hardware"
Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL"
Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing"
Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning"
